Cod_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,resp_homem,resp_mulher,prop_res_mulher,prop_res_homem
250750705000431,39,63,53,25,14,8,5,1,1,0,0,0,0,38,29,14,1,1,0,31,33,33,15,7,5,11,24,5,5,0,0,0,7,9,5,0,1,0,292,191,0.39544513457556935,0.6045548654244306
250750705000432,28,54,54,14,8,2,14,4,2,0,0,0,0,24,17,15,1,0,0,29,25,20,10,7,6,6,13,4,1,0,0,0,16,6,4,0,0,0,237,147,0.3828125,0.6171875
250750705000433,17,35,40,17,3,2,6,0,2,0,0,0,0,17,18,10,3,0,0,19,16,10,15,2,0,14,13,5,3,0,0,0,6,1,0,0,0,0,170,104,0.3795620437956204,0.6204379562043796
250750705000434,35,61,61,35,8,11,20,1,2,0,0,0,0,34,32,9,3,1,1,28,23,16,9,4,5,8,18,5,2,0,0,0,10,2,1,2,0,0,314,133,0.2975391498881432,0.7024608501118568
250750705000435,14,26,25,13,4,3,8,1,0,0,0,0,0,13,13,4,1,0,1,12,13,11,3,6,5,6,9,5,1,0,0,0,3,0,0,0,1,0,126,75,0.373134328358209,0.6268656716417911
250750705000436,20,23,25,8,8,4,8,1,1,0,0,0,0,19,8,6,0,0,0,13,19,15,10,5,12,9,11,4,3,2,1,0,2,7,0,1,0,0,131,114,0.46530612244897956,0.5346938775510204
250750705000437,17,31,36,17,9,4,6,3,0,0,0,0,0,14,15,11,2,1,0,21,17,16,8,3,4,6,13,7,0,0,1,0,8,2,2,0,0,0,166,108,0.39416058394160586,0.6058394160583942
250750705000438,27,36,48,16,5,6,6,0,0,0,0,0,0,27,20,13,4,0,0,11,13,9,9,3,3,6,5,4,0,0,0,0,6,1,2,0,0,0,208,72,0.2571428571428571,0.7428571428571429
250750705000439,31,44,53,21,6,11,10,1,2,0,0,0,0,30,15,11,4,2,0,18,17,19,13,5,5,13,12,4,2,0,0,0,6,3,4,0,0,0,241,121,0.3342541436464088,0.6657458563535912
250750705000440,16,32,30,16,8,5,4,1,0,0,0,0,0,15,9,6,3,2,0,24,41,40,22,7,6,10,21,14,8,0,0,0,3,5,2,0,0,0,147,203,0.58,0.42
250750705000441,29,27,20,26,7,1,13,2,0,0,0,0,0,27,10,4,3,1,0,43,47,42,13,5,6,12,36,21,6,1,0,0,7,5,0,0,0,0,170,244,0.5893719806763285,0.4106280193236715
250750705000442,24,41,35,11,9,4,8,2,2,0,0,0,0,22,22,6,1,0,0,24,25,27,9,7,19,6,17,11,10,2,0,0,7,3,0,0,0,0,187,167,0.4717514124293785,0.5282485875706214
250750705000443,6,13,10,6,2,3,3,0,0,0,0,0,0,6,9,2,0,1,0,6,4,5,7,2,4,2,3,1,1,1,0,0,3,1,0,0,0,1,61,41,0.4019607843137255,0.5980392156862745
250750705000444,17,25,24,15,5,2,7,3,0,0,0,0,0,14,10,4,0,1,0,15,14,14,9,5,5,8,12,7,2,1,0,0,3,2,3,0,0,0,127,100,0.44052863436123346,0.5594713656387665
250750705000445,11,26,17,9,5,6,4,0,0,0,0,0,0,11,10,6,1,0,0,7,12,10,3,5,4,1,5,5,3,1,0,0,2,1,0,1,0,0,106,60,0.3614457831325301,0.6385542168674698
250750705000446,30,74,50,28,5,8,7,3,1,0,0,0,0,27,34,10,2,0,1,30,36,33,13,7,6,12,18,12,5,2,1,0,12,4,1,0,1,0,280,193,0.4080338266384778,0.5919661733615222
