Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012
120040105000095,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,272,1003,3.69,3.68,917.65,1551083.77,1048.74,1635539.1,541.53,777476.58,877.29,965337.75
120040105000096,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,328,1335,4.07,4.84,827.97,428615.42,896.28,402665.07,478.9,334735.27,775.19,312120.88
120040105000097,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,271,1035,3.82,3.04,952.94,773154.47,1058.39,746996.67,502.84,524255.91,886.16,584340.94
120040105000098,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,287,1081,3.77,3.55,817.13,377251.48,898.53,341555.25,465.32,327400.6,803.25,293665.21
120040105000099,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,243,1180,4.86,5.78,783.82,819896.89,947.6,836098.08,421.8,393233.71,801.43,443002.41
120040105000100,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,268,1006,3.75,3.23,1147.47,1365556.58,1205.96,1364622.66,608.28,833448.4,1024.47,977616.21
120040105000101,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,423,1394,3.3,2.71,1556.77,5714179.16,1701.58,6000053.4,893.15,2967592.35,1387.64,3925677.55
120040105000102,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,318,1072,3.37,2.51,1616.2,7096986.5,1674.11,7254843.2,886.33,5016214.05,1401.27,7212851.66
120040105000103,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,297,1062,3.58,2.78,1029.72,813171.43,1158.44,765529.28,633.75,610382.73,956.13,612639.26
120040105000104,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,249,871,3.5,3.28,1091.48,2713557.96,1166.43,2812897.7,618.73,1674375.96,996.69,2321940.89
120040105000105,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,336,1160,3.45,3.54,1445.89,2156022.02,1499.44,2155576.35,788.94,1222074.16,1179.87,1366602.42
120040105000106,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,293,921,3.14,2.92,2304.37,70175014.67,2744.63,82423860.38,1353.76,27791939.26,2083.73,41283190.34
120040105000107,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,287,995,3.47,3.18,1468.36,3167983.43,1532.43,3208180.03,791.66,1608496.86,1209.16,1952581.54
120040105000108,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,151,569,3.77,2.73,753.3,960091.36,972.21,1026836.38,557.46,564324.58,844.95,612592.54
120040105000109,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,119,484,4.07,3.23,1235.61,2697194.75,1470.38,2866155.31,614.59,1225478.35,1176.74,1687085.8
120040105000110,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,254,817,3.22,2.11,3664.81,20451614.04,3878.6,20816977.61,2054.29,13421492.86,3125.7,17080452.07
120040105000111,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,287,923,3.22,2.32,3542.62,23124306.17,4382.47,24933566.94,2586.54,27596287.49,3660.87,35138766.64
120040105000112,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,387,1329,3.43,2.49,2657.21,22931994.31,3088.11,25327221.69,1488.98,11331924.32,2418,16162781.56
120040105000113,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,497,1747,3.52,3.32,1657.73,51311685.94,1794.97,55322106.49,887.23,18844086.12,1411.11,29242975.27
120040105000114,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,254,798,3.14,2.24,1979.12,2802430.66,2060.23,2749961.24,1224.54,2705343.23,1737.2,2947880.45
120040105000115,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,282,902,3.2,2.59,734.46,837661.18,888.91,876690.43,570.16,578881.1,812.21,628139.96
120040105000116,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,254,935,3.68,3.69,1317.54,6229974.31,1664.96,7299600.09,980.59,4739757.52,1563.47,6649950.48
120040105000117,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),2,0,230,846,3.68,3.67,712.45,525781.49,780.3,522897.13,411.86,381064.87,702.33,445981.67
120040105000118,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,1,396,1434,3.62,4.19,636.18,828459.34,740.96,887444.54,433.78,485370.65,644.2,585400.57
120040105000119,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,1,382,1455,3.81,3.23,591.73,1346173.47,729.16,1559309.43,378.47,637892.88,659.15,926418.21
